signal_date,entry_date,exit_date,ticker,zone_latent,zone_obs,zone_kind,P_obs,P_start,energy,U,L,y_start,p_up,p_down,p_none,a,slope,sigma
2025-12-31,2026-01-02,2026-01-15,QQQ,9,8,tube,614.3099975585935,625.1842977014487,0.512415092591286,626.7712315180659,618.2451382201886,0.6298154132176765,0.6603636363636364,0.3396363636363636,0.0,0.00042034049884169186,0.0002701715801418791,0.010723960360415574
2025-12-31,2026-01-02,2026-01-15,SPY,9,9,tube,681.9199829101562,681.9199829101562,0.8343831395915677,686.9806651130909,678.6785505020572,-0.21623466040104095,0.6092727272727273,0.3861818181818182,0.004545454545454519,0.0015189372337770402,-0.0005202527563963424,0.006802450914533407
2026-01-02,2026-01-05,2026-01-16,IONQ,7,7,tube,46.770000457763665,46.770000457763665,0.44344586475716835,47.812485081223635,43.247981811203374,0.5605811000912975,0.6838181818181818,0.31472727272727274,0.0014545454545454861,0.003131206510426882,0.000916490998500395,0.06552830331158367
2026-01-02,2026-01-05,2026-01-16,NVTS,8,8,tube,8.380000114440918,8.380000114440918,4.031527957239464,9.105902189385482,7.7224986338950945,-0.008282972142861372,0.49654545454545457,0.49018181818181816,0.013272727272727214,0.00014249117455802894,0.0005506868319241822,0.07745751750777169
2026-01-02,2026-01-05,2026-01-16,QQQ,9,8,tube,613.1199951171874,624.6764445844475,0.027883500443682787,626.7712315180659,618.2451382201886,0.5111498495722907,0.6409090909090909,0.35872727272727273,0.0003636363636363993,0.00042034049884169186,0.0002701715801418791,0.010723960360415574
2026-01-02,2026-01-05,2026-01-16,SPY,9,9,tube,683.1699829101561,683.1699829101561,0.04994978285278033,686.9806651130909,679.3615451526142,0.002493581438261215,0.6549090909090909,0.34363636363636363,0.0014545454545454861,0.0015189372337770402,-0.0005202527563963424,0.006802450914533407
2026-01-05,2026-01-06,2026-01-20,IONQ,7,8,tube,48.70999908447266,43.57055048762655,0.4214292790450981,47.812485081223635,43.247981811203374,-0.8518799122196917,0.31036363636363634,0.6881818181818182,0.001454545454545375,0.003131206510426882,0.000916490998500395,0.06552830331158367
2026-01-05,2026-01-06,2026-01-20,NVTS,8,8,tube,9.050000190734865,9.050000190734865,0.8744406682707376,9.105902189385482,7.732498745251903,0.924668308139999,0.765090909090909,0.22745454545454546,0.0074545454545454914,0.00014249117455802894,0.0005506868319241822,0.07745751750777169
2026-01-05,2026-01-06,2026-01-20,QQQ,9,8,tube,617.9899902343752,626.6653186410108,0.4657093347898552,626.7712315180659,618.2451382201886,0.9753228728157514,0.7387272727272727,0.2609090909090909,0.0003636363636363993,0.00042034049884169186,0.0002701715801418791,0.010723960360415574
2026-01-05,2026-01-06,2026-01-20,SPY,9,10,tube,687.7199707031251,679.8220241910299,0.6586075415693593,686.9806651130909,679.5131220254553,-0.9168331962157436,0.4441818181818182,0.5530909090909091,0.0027272727272726893,0.0015189372337770402,-0.0005202527563963424,0.006802450914533407
2026-01-06,2026-01-07,2026-01-21,IONQ,7,8,tube,50.75999832153321,44.32128364773617,0.43511934436591043,47.91995100223766,43.29199794508608,-0.5372934338245645,0.3976363636363636,0.6010909090909091,0.0012727272727273142,0.003131206510426882,0.000916490998500395,0.06552830331158367
2026-01-06,2026-01-07,2026-01-21,NVTS,9,9,tube,10.1899995803833,10.1899995803833,2.0518325191412763,14.06678173209369,9.11297562046902,-0.4853573503270246,0.14254545454545456,0.512,0.34545454545454546,0.00035375180095277494,0.0005609041072951881,0.07703642987613801
2026-01-06,2026-01-07,2026-01-21,QQQ,9,9,tube,623.4199829101561,623.4199829101561,0.574164406370867,626.7712315180659,618.4068508365183,0.20190905260289255,0.5721818181818182,0.42763636363636365,0.00018181818181811638,0.00042034049884169186,0.0002701715801418791,0.010723960360415574
2026-01-06,2026-01-07,2026-01-21,SPY,9,10,tube,691.8099975585936,681.6599925515886,0.5244498605074652,687.1369357958873,679.7284694186399,-0.4764703050167724,0.5432727272727272,0.45545454545454545,0.0012727272727273142,0.0015189372337770402,-0.0005202527563963424,0.006802450914533407
2026-01-07,2026-01-08,2026-01-22,IONQ,7,8,tube,49.77999877929687,44.05768212947654,0.09735022215971176,48.14962477032209,43.44384102296168,-0.7271478086032055,0.33836363636363637,0.6605454545454545,0.0010909090909090313,0.003131206510426882,0.000916490998500395,0.06552830331158367
2026-01-07,2026-01-08,2026-01-22,NVTS,9,9,tube,10.310000419616697,10.310000419616697,0.019385343903494164,14.06678173209369,9.119999885559082,-0.43396520841835506,0.14472727272727273,0.4883636363636364,0.3669090909090909,0.00035375180095277494,0.0005609041072951881,0.07703642987613801
2026-01-07,2026-01-08,2026-01-22,QQQ,9,9,tube,624.0200195312499,624.0200195312499,0.006882728498208571,626.7712315180659,618.453186035156,0.3414484233120028,0.5994545454545455,0.40054545454545454,0.0,0.00042034049884169186,0.0002701715801418791,0.010723960360415574
2026-01-07,2026-01-08,2026-01-22,SPY,9,10,tube,689.5800170898439,680.8216854700128,0.15476830886657225,687.7083570126874,680.0206178565675,-0.7905461957553631,0.4618181818181818,0.5356363636363637,0.0025454545454545174,0.0015189372337770402,-0.0005202527563963424,0.006802450914533407
2026-01-08,2026-01-09,2026-01-23,IONQ,7,8,tube,50.450000762939446,44.24267309607106,0.04726925927255636,48.52244426444,43.44384102296168,-0.6703849672292311,0.35872727272727273,0.6392727272727273,0.0019999999999998908,0.003131206510426882,0.000916490998500395,0.06552830331158367
2026-01-08,2026-01-09,2026-01-23,NVTS,9,9,tube,10.0600004196167,10.0600004196167,0.08533033441025563,14.06678173209369,9.16498774632632,-0.5650275378249986,0.11545454545454545,0.5689090909090909,0.3156363636363636,0.00035375180095277494,0.0005609041072951881,0.07703642987613801
2026-01-08,2026-01-09,2026-01-23,QQQ,9,9,tube,620.4699707031249,620.4699707031249,0.2893211116746196,626.7712315180659,619.1342967193742,-0.648432954887508,0.3958181818181818,0.604,0.0001818181818181719,0.00042034049884169186,0.0002701715801418791,0.010723960360415574
2026-01-08,2026-01-09,2026-01-23,SPY,9,10,tube,689.5100097656249,681.2907269871645,0.00019023297290012288,687.8473752474539,680.5360586272825,-0.7925696053177704,0.4838181818181818,0.5147272727272727,0.0014545454545454861,0.0015189372337770402,-0.0005202527563963424,0.006802450914533407
2026-01-09,2026-01-12,2026-01-26,IONQ,7,8,tube,49.45000076293946,43.83031404527855,0.11892806769517324,48.52244426444,43.44384102296168,-0.8397829700333395,0.3069090909090909,0.6910909090909091,0.0020000000000000018,0.003131206510426882,0.000916490998500395,0.06552830331158367
2026-01-09,2026-01-12,2026-01-26,NVTS,9,9,tube,10.069999694824219,10.069999694824219,0.00015272287171358924,14.06678173209369,9.178999791730616,-0.5659737860098119,0.12163636363636364,0.5670909090909091,0.31127272727272726,0.00035375180095277494,0.0005609041072951881,0.07703642987613801
